headline,excerpt,display date,month,day,year
NJ schools paid to study flood risks,"New Jersey is spending $1.3 million to study ways to reduce the risk of flooding and damage from storm surges. The Environmental Protection Department approved 10 projects for Rutgers University,...","September 13, 2013",September,13,2013
Flushable' wipes blamed for sewer clogs,Increasingly popular bathroom wipes — pre-moistened towelettes that are often advertised as flushable — are being blamed for creating clogs and backups in sewer systems around the nation. Wastewater authorities...,"September 23, 2013",September,23,2013
Cuomo demands Plum Island cleanup plan,MINEOLA — New York state is demanding a review of environmental conditions on Plum Island before the federal government can sell the island and move an infectious animal disease laboratory...,"October 1, 2013",October,1,2013
Behind Michelle Obama’s water war,"Michelle Obama wants you to drink more water, at least one more glass a day. Frankly, I think it’s great. Sure, the science behind some of her claims is somewhere...","October 2, 2013",October,2,2013
Anti-fracking activists learn to work with gas industry,"PITTSBURGH — For years, activists have warned that fracking can have disastrous consequences — ruined water and air, sickened people and animals, a ceaseless parade of truck traffic. Now some...","October 7, 2013",October,7,2013
Chevron's landmark lawsuit exposes 'greenmail',"In a Manhattan courtroom Tuesday, one of the highest-profile environmental campaigns of recent decades is about to be exposed as nothing more than a fraud and extortion racket — “greenmail.”...","October 14, 2013",October,14,2013
Why Albany hates sunlight,"Albany’s ever productive drapery factory seems to be working overtime and adding new shifts to grind out curtains with more opacity to keep out the sunlight. Sunlight, after all, is...","October 14, 2013",October,14,2013
Creek-clean plan mudslinging,ALBANY — Critics of New York City's muddy pollution of an upstate trout stream said Wednesday that an agreement between city and state regulators to address the issue falls short...,"October 16, 2013",October,16,2013
Schools plan to replace Styrofoam lunch trays,Tray it ain’t so. Styrofoam companies are about to lose their lunch over a city plan to replace the foam trays in school cafeterias with an eco-friendly compostable version. The...,"October 30, 2013",October,30,2013
Antarctica's winter wonderland,"Russia and the Ukraine met to plan to the world's largest ocean sanctuary in Antarctica on Friday. Pristine waters rich in energy and species such as whales, penguins and vast...","November 1, 2013",November,1,2013
Appeals court to review approval of BP settlement,"NEW ORLEANS — A year ago, lawyers for BP and Gulf Coast residents and businesses took turns urging a federal judge to approve their settlement for compensating victims of the...","November 3, 2013",November,3,2013
Google's San Francisco Bay barge remains a mystery,San Francisco's mayor says he doesn't know what it is. Police say it's not their jurisdiction. And government inspectors are sworn to secrecy. Google is erecting a four-story structure in...,"November 5, 2013",November,5,2013
Mysterious disease turning hundreds of starfish to 'slime',"Scientists are struggling to find the trigger for a disease that appears to be ravaging starfish in record numbers along the US West Coast, causing the sea creatures to lose...","November 5, 2013",November,5,2013
Leo snaps up luxe Greenwich Village pad,"Leonardo DiCaprio’s New York City vagabond life is over. After months of shopping, the actor has bought a multimillion-dollar apartment in the luxurious and green Delos building in Greenwich Village,...","November 8, 2013",November,8,2013
"The secret, dirty cost of Obama's green power push","CORYDON, Iowa — The hills of southern Iowa bear the scars of America's push for green energy: The brown gashes where rain has washed away the soil. The polluted streams...","November 12, 2013",November,12,2013
Mayor Bloomberg wants to ban Styrofoam,"Before he leaves office next month, Mayor Bloomberg is ordering one more takeout -- Styrofoam. At the request of the mayor, the City Council's Sanitation Committee is holding a hearing...","November 21, 2013",November,21,2013
Methane emissions 50% higher than first estimates,"WASHINGTON -- The United States is spewing 50 percent more methane - a potent heat-trapping gas - than the federal government estimates, a new comprehensive scientific study says. Much of...","November 26, 2013",November,26,2013
Beijing destroying BBQ grills to cut pollution,"BEIJING -- Beijing is waging a war against air pollution, one barbecue at a time. Authorities in the capital have destroyed more than 500 open-air barbecues ""to cut PM2.5"" -...","November 27, 2013",November,27,2013
Suit may force Cuomo to address fracking,Gov. Cuomo may soon be forced to make a fracking decision. A little-known bankrupt energy company plans to sue the governor and his Department of Environmental Protection if the state...,"December 3, 2013",December,3,2013
Whale Wars' to begin next mission without longtime captain,"For the past five seasons of Animal Planet’s “Whale Wars,” viewers have watched Captain Paul Watson, as leader of The Sea Shepherd Conservation Society, lead missions into the Antarctic’s Southern...","December 12, 2013",December,12,2013
NJ officials back Pinelands pipeline,"PEMBERTON, NJ — Cape May County officials are backing a plan to build a natural-gas pipeline through the protected Pinelands reserve to refuel an old coal-fired power plant. Sort of....","December 12, 2013",December,12,2013
NY facing fracking lawsuit threat,An upstate lawyer is planning to sue the New York Department of Environmental Conservation Tuesday for not concluding its review on the safety of fracking. “We are actively finishing up...,"December 16, 2013",December,16,2013
NYC Council OKs potential foam food container ban,"Takeout-craving New York City is opening the door to outlawing plastic foam to-go cups and trays, unless a yearlong inquiry shows they can be recycled effectively. The City Council unanimously...","December 19, 2013",December,19,2013
Icelandic elves fight to preserve their habitat,"REYKJAVIK, Iceland — In this land of fire and ice, where the fog-shrouded lava fields offer a spooky landscape in which anything might lurk, stories abound of the ""hidden folk""...","December 22, 2013",December,22,2013
West Virginia chemical spill sparks tap water ban,"Up to 300,000 residents in West Virginia were left without tap water on Friday after a chemical spill that forced the closure of schools and business in the state capital...","January 10, 2014",January,10,2014
Palisades protection group takes on LG at Vegas tech show,A New York group -- supported by Bette Midler and members of the Rockefeller clan -- that opposes plans to build a headquarters for electronics giant LG along the New...,"January 10, 2014",January,10,2014
The Obama impact statement,"Sometimes even the federal government is capable of grasping the obvious. So it was late Friday afternoon, when the State Department dumped its report on the environmental impact of the...","February 2, 2014",February,2,2014
Leopards scratch and bite Olympic journalists with Putin,"SOCHI, Russia -- Vladimir Putin, rugged outdoorsman and tough-guy Russian president, promoted a cuddly image Tuesday as his Olympics drew near. Putin checked in at a preserve for endangered Persian...","February 4, 2014",February,4,2014
NY may be first state to ban microbeads in beauty items,New York could become the first state to ban the super-tiny bits of plastic that have been quietly added to more than 100 beauty and personal-care products and pose a...,"February 11, 2014",February,11,2014
Former Dinkins aide named de Blasio's DEP commisioner,Another old government hand from the David Dinkins administration is joining Mayor de Blasio at City Hall. Emily Lloyd — who was sanitation chief under ex-Mayor Dinkins — has been...,"February 19, 2014",February,19,2014
John Kerry’s phony climate war,"Secretary of State John Kerry is reporting for duty in the war against climate change. In a speech in Jakarta, Indonesia, he declared climate change “another weapon of mass destruction.”...","February 21, 2014",February,21,2014
New York swans won't be slaughtered,"Government workers killed a plan to execute 2,500 menacing mute swans living in the state — and will instead wipe them out through birth control. The State Department of Environmental...","February 28, 2014",February,28,2014
NY town fined after it broke federal law to build ballpark,"A Rockland County town has agreed to fork over a $125,000 fine and create 2.2 acres of new wetlands after admitting it broke federal environmental laws to pave way for...","March 18, 2014",March,18,2014
"Proposal would levy 10-cent fee on paper, plastic shopping bags","The choice between paper or plastic bags could soon come with a new burden: a 10-cent fee. Under legislation set to be introduced by City Council members Wednesday, stores would...","March 24, 2014",March,24,2014
Thick blanket of toxic smog forces London's kids inside,London fog has given way to London smog. A toxic brew of local and European pollution and blowing sand from the Sahara has covered London in a choking blanket of...,"April 3, 2014",April,3,2014
The Environmental Magazine aims for digital return,"After folding its print edition, E — The Environmental Magazine is plotting a comeback as a digital-only operation under the EarthTalk banner. EarthTalk was the name of one of the...","April 17, 2014",April,17,2014
The deadliest environmental threat (it's not global warming),Earth Day is a chance to take stock: What is the state of the world’s environment? Our knee-jerk reaction is that it’s getting worse. But that is not only mostly...,"April 21, 2014",April,21,2014
Scuba divers fight underwater for aquarium fish,HONOLULU — A filmed underwater confrontation between an environmentalist who wants to shut down the aquarium-fish industry in Hawaii and a collector who gathers the fish and sells them for...,"May 15, 2014",May,15,2014
China literally moving mountains for mega-cities,"When the most populated country on Earth continues to rapidly grow, what does one do? China, being no stranger to ambitious building projects, has taken to literally moving mountains in...","June 5, 2014",June,5,2014
Why New York should become the city of oysters again,"“Our raw-bar special tonight is the Gowanus oyster. Briny, good salinity with undertones of sewage and industrial detergents . . .” Hard to imagine now, but New York Harbor and...","June 21, 2014",June,21,2014
Lion-hunting cheerleader shoots back: I'm a conservationist,"The Texas teenager who sparked outrage on Facebook by posting pictures of herself with animals she hunted and killed in Africa has responded to her online backlash, using President Teddy...","July 3, 2014",July,3,2014
It was so hot in Yellowstone that a road melted,"CHEYENNE, Wyo. — The ever-changing thermal geology of Yellowstone National Park has created a hot spot that melted an asphalt road and closed access to popular geysers and other attractions...","July 12, 2014",July,12,2014
How the EPA ignores the public and science,The Environmental Protection Agency ignored both public opinion and science in writing its new economy-slamming regulations restricting carbon-dioxide emissions from power plants. Although EPA head Gina McCarthy testified otherwise before...,"August 10, 2014",August,10,2014
Conservationists dye rhino horns red to deter poachers,Officials in South Africa are taking the grave situation of the vanishing rhino population into their own hands — infusing their horns with red dye and toxins to ensure that...,"September 16, 2014",September,16,2014
Greens v. the poor: It's a movement of the 'haves',Looking for something to do this weekend that will help those less fortunate than you? Better steer clear of the People’s Climate Change March. Set to start Sunday morning on...,"September 17, 2014",September,17,2014
California first state to ban plastic shopping bags,"SACRAMENTO, Calif. — Gov. Jerry Brown on Tuesday signed legislation imposing the nation's first statewide ban on single-use plastic bags, driven to action by a buildup of litter and damage...","September 30, 2014",September,30,2014
